time,stargazers
2010-08-24,297025
2010-08-25,297026
2010-08-26,297027
2010-08-31,297028
2010-09-01,297029
2010-09-06,297031
2010-09-07,297032
2010-09-14,297033
2010-09-15,297034
2010-09-18,297037
2010-09-20,297038
2010-09-21,297040
2010-09-23,297041
2010-09-24,297043
2010-09-25,297044
2010-09-27,297045
2010-09-30,297047
2010-10-02,297048
2010-10-03,297049
2010-10-04,297050
2010-10-05,297052
2010-10-06,297055
2010-10-07,297057
2010-10-09,297058
2010-10-10,297059
2010-10-15,297061
2010-10-17,297063
2010-10-19,297064
2010-10-21,297066
2010-10-22,297067
2010-10-23,297069
2010-10-25,297073
2010-10-26,297074
2010-10-28,297075
2010-10-30,297077
2010-10-31,297082
2010-11-01,297083
2010-11-03,297084
2010-11-04,297088
2010-11-05,297089
2010-11-08,297090
2010-11-09,297091
2010-11-10,297092
2010-11-11,297094
2010-11-12,297095
2010-11-14,297096
2010-11-15,297098
2010-11-16,297100
2010-11-17,297101
2010-11-18,297102
2010-11-22,297105
2010-11-23,297106
2010-11-26,297108
2010-11-27,297109
2010-11-28,297110
2010-11-29,297112
2010-12-02,297114
2010-12-03,297115
2010-12-04,297116
2010-12-05,297118
2010-12-06,297119
2010-12-07,297120
2010-12-08,297121
2010-12-10,297122
2010-12-12,297123
2010-12-13,297124
2010-12-14,297127
2010-12-15,297129
2010-12-18,297130
2010-12-24,297133
2010-12-25,297136
2010-12-28,297138
2010-12-29,297139
2010-12-30,297140
2010-12-31,297141
2011-01-02,297142
2011-01-03,297143
2011-01-05,297147
2011-01-06,297149
2011-01-09,297150
2011-01-10,297151
2011-01-11,297153
2011-01-12,297156
2011-01-13,297159
2011-01-16,297160
2011-01-17,297161
2011-01-19,297162
2011-01-21,297163
2011-01-23,297164
2011-01-24,297165
2011-01-27,297168
2011-01-28,297170
2011-01-29,297171
2011-01-30,297172
2011-01-31,297173
2011-02-01,297174
2011-02-02,297175
2011-02-05,297176
2011-02-06,297177
2011-02-08,297178
2011-02-10,297180
2011-02-13,297182
2011-02-14,297184
2011-02-15,297186
2011-02-16,297187
2011-02-17,297189
2011-02-20,297191
2011-02-21,297192
2011-02-23,297193
2011-02-27,297194
2011-02-28,297195
2011-03-01,297197
2011-03-04,297198
2011-03-05,297199
2011-03-08,297200
2011-03-10,297201
2011-03-16,297202
2011-03-17,297206
2011-03-19,297207
2011-03-21,297208
2011-03-22,297209
2011-03-27,297212
2011-03-28,297213
2011-03-29,297214
2011-03-30,297216
2011-03-31,297218
2011-04-02,297221
2011-04-03,297222
2011-04-04,297223
2011-04-05,297225
2011-04-06,297226
2011-04-08,297227
2011-04-09,297229
2011-04-12,297232
2011-04-14,297234
2011-04-15,297237
2011-04-16,297238
2011-04-17,297240
2011-04-18,297241
2011-04-19,297242
2011-04-21,297245
2011-04-22,297246
2011-04-23,297247
2011-04-25,297248
2011-04-26,297250
2011-04-28,297252
2011-04-29,297254
2011-05-02,297255
2011-05-03,297257
2011-05-04,297258
2011-05-05,297259
2011-05-06,297260
2011-05-10,297261
2011-05-11,297263
2011-05-12,297264
2011-05-13,297265
2011-05-16,297266
2011-05-18,297268
2011-05-19,297271
2011-05-20,297274
2011-05-22,297275
2011-05-23,297277
2011-05-24,297278
2011-05-25,297279
2011-05-26,297281
2011-05-30,297282
2011-06-01,297283
2011-06-05,297284
2011-06-06,297287
2011-06-09,297289
2011-06-10,297290
2011-06-13,297292
2011-06-14,297294
2011-06-15,297296
2011-06-17,297297
2011-06-20,297300
2011-06-22,297301
2011-06-23,297303
2011-06-27,297307
2011-06-28,297308
2011-06-30,297309
2011-07-02,297310
2011-07-03,297312
2011-07-04,297314
2011-07-05,297316
2011-07-06,297317
2011-07-08,297318
2011-07-09,297319
2011-07-11,297320
2011-07-12,297321
2011-07-14,297323
2011-07-16,297325
2011-07-18,297326
2011-07-19,297328
2011-07-22,297329
2011-07-26,297330
2011-07-28,297331
2011-07-29,297332
2011-07-31,297334
2011-08-02,297335
2011-08-04,297337
2011-08-07,297338
2011-08-08,297339
2011-08-10,297340
2011-08-12,297341
2011-08-16,297342
2011-08-17,297343
2011-08-19,297344
2011-08-21,297345
2011-08-22,297346
2011-08-23,297347
2011-08-24,297348
2011-08-27,297349
2011-08-28,297351
2011-08-29,297352
2011-08-31,297353
2011-09-01,297354
2011-09-03,297355
2011-09-04,297356
2011-09-05,297357
2011-09-07,297359
2011-09-08,297361
2011-09-10,297362
2011-09-13,297363
2011-09-14,297364
2011-09-17,297367
2011-09-19,297370
2011-09-21,297371
2011-09-22,297372
2011-09-23,297373
2011-09-26,297374
2011-09-28,297376
2011-09-29,297377
2011-09-30,297378
2011-10-01,297379
2011-10-03,297383
2011-10-04,297384
2011-10-06,297385
2011-10-07,297388
2011-10-11,297389
2011-10-12,297390
2011-10-13,297391
2011-10-14,297392
2011-10-15,297393
2011-10-16,297394
2011-10-18,297395
2011-10-20,297397
2011-10-21,297398
2011-10-22,297399
2011-10-25,297400
2011-10-26,297401
2011-11-01,297402
2011-11-02,297404
2011-11-04,297406
2011-11-06,297407
2011-11-07,297408
2011-11-08,297409
2011-11-13,297410
2011-11-14,297414
2011-11-15,297415
2011-11-18,297417
2011-11-20,297418
2011-11-21,297419
2011-11-25,297420
2011-11-26,297421
2011-11-27,297423
2011-11-30,297424
2011-12-02,297426
2011-12-03,297428
2011-12-04,297429
2011-12-07,297431
2011-12-08,297433
2011-12-09,297436
2011-12-11,297437
2011-12-13,297440
2011-12-14,297441
2011-12-19,297443
2011-12-21,297447
2011-12-25,297448
2011-12-26,297449
2011-12-28,297451
2012-01-03,297453
2012-01-04,297455
2012-01-05,297457
2012-01-06,297459
2012-01-07,297460
2012-01-08,297461
2012-01-09,297464
2012-01-11,297465
2012-01-12,297466
2012-01-13,297469
2012-01-16,297470
2012-01-18,297472
2012-01-21,297473
2012-01-22,297474
2012-01-24,297475
2012-01-25,297477
2012-01-27,297478
2012-01-28,297479
2012-01-30,297481
2012-02-01,297482
2012-02-03,297484
2012-02-04,297485
2012-02-06,297486
2012-02-07,297487
2012-02-09,297489
2012-02-10,297490
2012-02-11,297491
2012-02-15,297492
2012-02-17,297493
2012-02-19,297494
2012-02-20,297496
2012-02-21,297499
2012-02-23,297500
2012-02-24,297501
2012-02-25,297502
2012-02-29,297503
2012-03-03,297506
2012-03-04,297507
2012-03-05,297508
2012-03-07,297509
2012-03-08,297511
2012-03-10,297512
2012-03-12,297514
2012-03-13,297515
2012-03-15,297518
2012-03-17,297519
2012-03-19,297521
2012-03-23,297522
2012-03-24,297523
2012-03-25,297524
2012-03-27,297525
2012-04-01,297526
2012-04-02,297527
2012-04-05,297528
2012-04-06,297529
2012-04-07,297530
2012-04-09,297531
2012-04-11,297536
2012-04-14,297537
2012-04-16,297538
2012-04-17,297539
2012-04-18,297540
2012-04-20,297541
2012-04-24,297545
2012-04-27,297546
2012-04-29,297548
2012-05-02,297549
2012-05-03,297550
2012-05-04,297551
2012-05-07,297552
2012-05-10,297553
2012-05-13,297554
2012-05-14,297555
2012-05-15,297556
2012-05-19,297557
2012-05-21,297558
2012-05-23,297559
2012-05-25,297561
2012-05-30,297562
2012-05-31,297564
2012-06-01,297565
2012-06-04,297566
2012-06-05,297567
2012-06-07,297569
2012-06-08,297570
2012-06-11,297571
2012-06-12,297572
2012-06-14,297573
2012-06-15,297574
2012-06-16,297575
2012-06-18,297577
2012-06-19,297579
2012-06-20,297580
2012-06-21,297583
2012-06-22,297584
2012-06-24,297585
2012-07-01,297586
2012-07-04,297587
2012-07-05,297588
2012-07-06,297589
2012-07-08,297590
2012-07-09,297591
2012-07-11,297592
2012-07-14,297593
2012-07-16,297594
2012-07-19,297595
2012-07-20,297598
2012-07-21,297599
2012-07-22,297601
2012-07-25,297602
2012-07-26,297604
2012-07-27,297605
2012-07-28,297607
2012-08-02,297610
2012-08-03,297612
2012-08-05,297613
2012-08-08,297614
2012-08-12,297615
2012-08-16,297616
2012-08-23,297617
2012-08-31,297618
2012-09-02,297619
2012-09-04,297620
2012-09-10,297621
2012-09-13,297622
2012-09-25,297624
2012-09-27,297626
2012-09-28,297627
2012-10-03,297628
2012-11-08,297629
2012-11-16,297630
2012-11-21,297631
2012-11-23,297632
2012-11-25,297633
2012-11-30,297634
2012-12-02,297635
2012-12-10,297636
2012-12-18,297637
2013-01-09,297638
2013-01-25,297639
2013-02-09,297640
2013-02-10,297642
2013-02-11,297645
2013-02-12,297647
2013-02-13,297650
2013-02-15,297655
2013-02-16,297660
2013-02-17,297663
2013-02-18,297664
2013-02-19,297671
2013-02-20,297672
2013-02-21,297675
2013-02-22,297676
2013-02-23,297677
2013-02-24,297680
2013-02-25,297682
2013-02-26,297684
2013-02-27,297690
2013-02-28,297691
2013-03-01,297692
2013-03-02,297693
2013-03-03,297694
2013-03-04,297696
2013-03-05,297705
2013-03-06,297707
2013-03-07,297710
2013-03-09,297711
2013-03-10,297717
2013-03-11,297722
2013-03-12,297729
2013-03-13,297730
2013-03-14,297733
2013-03-15,297736
2013-03-16,297741
2013-03-17,297745
2013-03-18,297752
2013-03-19,297755
2013-03-20,297759
2013-03-21,297762
2013-03-22,297765
2013-03-23,297770
2013-03-24,297772
2013-03-25,297780
2013-03-26,297781
2013-03-27,297782
2013-03-28,297788
2013-03-29,297789
2013-03-30,297791
2013-03-31,297792
2013-04-01,297797
2013-04-02,297804
2013-04-03,297811
2013-04-04,297815
2013-04-05,297817
2013-04-06,297819
2013-04-07,297823
2013-04-08,297825
2013-04-09,297828
2013-04-10,297829
2013-04-11,297830
2013-04-12,297831
2013-04-13,297833
2013-04-14,297834
2013-04-15,297839
2013-04-16,297840
2013-04-17,297842
2013-04-18,297844
2013-04-19,297845
2013-04-21,297847
2013-04-22,297851
2013-04-23,297853
2013-04-24,297857
2013-04-25,297858
2013-04-26,297860
2013-04-27,297861
2013-04-28,297863
2013-04-29,297864
2013-04-30,297866
2013-05-01,297868
2013-05-02,297873
2013-05-03,297875
2013-05-04,297877
2013-05-05,297878
2013-05-06,297879
2013-05-07,297881
2013-05-08,297882
2013-05-09,297884
2013-05-10,297886
2013-05-11,297887
2013-05-12,297888
2013-05-13,297889
2013-05-14,297893
2013-05-15,297898
2013-05-16,297900
2013-05-17,297902
2013-05-18,297904
2013-05-19,297905
2013-05-20,297911
2013-05-21,297912
2013-05-22,297915
2013-05-23,297918
2013-05-24,297921
2013-05-25,297924
2013-05-26,297926
2013-05-27,297927
2013-05-28,297930
2013-05-31,297931
2013-06-01,297933
2013-06-02,297936
2013-06-03,297939
2013-06-05,297942
2013-06-06,297945
2013-06-07,297950
2013-06-10,297951
2013-06-12,297952
2013-06-13,297954
2013-06-14,297956
2013-06-16,297960
2013-06-17,297964
2013-06-18,297969
2013-06-20,297972
2013-06-21,297973
2013-06-24,297977
2013-06-25,297981
2013-06-26,297982
2013-06-27,297984
2013-06-28,297989
2013-06-29,297990
2013-06-30,297991
2013-07-01,297996
2013-07-03,298004
2013-07-04,298007
2013-07-05,298011
2013-07-06,298012
2013-07-07,298014
2013-07-08,298020
2013-07-09,298024
2013-07-10,298027
2013-07-11,298029
2013-07-12,298031
2013-07-13,298033
2013-07-14,298035
2013-07-15,298037
2013-07-16,298039
2013-07-17,298041
2013-07-18,298042
2013-07-19,298043
2013-07-20,298045
2013-07-21,298047
2013-07-22,298051
2013-07-23,298053
2013-07-24,298056
2013-07-25,298060
2013-07-26,298062
2013-07-27,298065
2013-07-28,298066
2013-07-30,298067
2013-07-31,298073
2013-08-01,298074
2013-08-02,298077
2013-08-03,298078
2013-08-04,298080
2013-08-05,298083
2013-08-06,298084
2013-08-07,298087
2013-08-08,298090
2013-08-09,298092
2013-08-11,298099
2013-08-12,298108
2013-08-13,298110
2013-08-15,298111
2013-08-16,298112
2013-08-17,298115
2013-08-18,298118
2013-08-20,298123
2013-08-22,298126
2013-08-23,298133
2013-08-24,298140
2013-08-25,298141
2013-08-26,298143
2013-08-27,298147
2013-08-28,298150
2013-08-29,298152
2013-08-31,298153
2013-09-01,298155
2013-09-02,298156
2013-09-03,298158
2013-09-04,298160
2013-09-05,298165
2013-09-08,298166
2013-09-09,298173
2013-09-10,298175
2013-09-11,298178
2013-09-13,298181
2013-09-14,298183
2013-09-15,298184
2013-09-16,298185
2013-09-17,298207
2013-09-18,298233
2013-09-19,298244
2013-09-20,298255
2013-09-21,298258
2013-09-22,298265
2013-09-23,298268
2013-09-24,298270
2013-09-25,298275
2013-09-26,298278
2013-09-27,298283
2013-09-28,298287
2013-09-29,298290
2013-09-30,298293
2013-10-01,298294
2013-10-02,298298
2013-10-03,298300
2013-10-04,298302
2013-10-05,298303
2013-10-06,298306
2013-10-07,298308
2013-10-08,298312
2013-10-09,298318
2013-10-10,298323
2013-10-11,298329
2013-10-12,298331
2013-10-13,298333
2013-10-14,298341
2013-10-15,298351
2013-10-16,298356
2013-10-17,298361
2013-10-18,298369
2013-10-19,298373
2013-10-20,298375
2013-10-22,298381
2013-10-23,298389
2013-10-24,298399
2013-10-25,298401
2013-10-26,298403
2013-10-27,298409
2013-10-28,298418
2013-10-29,298421
2013-10-30,298424
2013-10-31,298428
2013-11-01,298431
2013-11-03,298433
2013-11-04,298434
2013-11-05,298439
2013-11-06,298445
2013-11-07,298448
2013-11-08,298449
2013-11-09,298453
2013-11-10,298455
2013-11-11,298461
2013-11-12,298466
2013-11-13,298478
2013-11-14,298482
2013-11-15,298484
2013-11-16,298487
2013-11-17,298489
2013-11-18,298493
2013-11-19,298501
2013-11-20,298507
2013-11-21,298513
2013-11-22,298516
2013-11-23,298518
2013-11-24,298520
2013-11-25,298522
2013-11-26,298526
2013-11-27,298532
2013-11-28,298535
2013-11-29,298537
2013-11-30,298541
2013-12-01,298552
2013-12-02,298556
2013-12-03,298561
2013-12-04,298562
2013-12-05,298567
2013-12-06,298570
2013-12-07,298573
2013-12-08,298575
2013-12-09,298579
2013-12-10,298584
2013-12-11,298586
2013-12-12,298588
2013-12-13,298592
2013-12-14,298595
2013-12-15,298599
2013-12-16,298601
2013-12-17,298608
2013-12-18,298609
2013-12-20,298615
2013-12-21,298617
2013-12-23,298621
2013-12-24,298623
2013-12-26,298624
2013-12-27,298632
2013-12-28,298635
2013-12-29,298636
2013-12-30,298637
2013-12-31,298642
2014-01-01,298643
2014-01-02,298645
2014-01-03,298647
2014-01-05,298649
2014-01-06,298653
2014-01-07,298655
2014-01-08,298656
2014-01-09,298659
2014-01-10,298663
2014-01-11,298667
2014-01-12,298669
2014-01-13,298674
2014-01-15,298677
2014-01-16,298681
2014-01-17,298690
2014-01-18,298692
2014-01-19,298693
2014-01-20,298701
2014-01-21,298707
2014-01-22,298708
2014-01-23,298712
2014-01-24,298714
2014-01-25,298717
2014-01-26,298723
2014-01-27,298726
2014-01-28,298734
2014-01-29,298737
2014-01-30,298740
2014-01-31,298741
2014-02-01,298743
2014-02-02,298745
2014-02-03,298746
2014-02-04,298748
2014-02-05,298754
2014-02-06,298766
2014-02-07,298769
2014-02-08,298773
2014-02-09,298775
2014-02-10,298786
2014-02-11,298791
2014-02-12,298794
2014-02-13,298796
2014-02-14,298801
2014-02-15,298805
2014-02-16,298808
2014-02-17,298810
2014-02-18,298814
2014-02-19,298820
2014-02-20,298825
2014-02-21,298829
2014-02-22,298831
2014-02-23,298835
2014-02-24,298840
2014-02-25,298842
2014-02-26,298845
2014-02-27,298849
2014-02-28,298852
2014-03-01,298853
2014-03-02,298860
2014-03-03,298862
2014-03-04,298867
2014-03-05,298873
2014-03-06,298877
2014-03-07,298883
2014-03-08,298885
2014-03-10,298887
2014-03-11,298890
2014-03-12,298892
2014-03-13,298893
2014-03-14,298897
2014-03-15,298900
2014-03-16,298911
2014-03-17,298916
2014-03-18,298918
2014-03-19,298924
2014-03-20,298927
2014-03-21,298929
2014-03-22,298930
2014-03-23,298934
2014-03-24,298938
2014-03-25,298942
2014-03-26,298943
2014-03-27,298946
2014-03-28,298948
2014-03-29,298949
2014-03-30,298952
2014-03-31,298954
2014-04-01,298959
2014-04-02,298964
2014-04-03,298967
2014-04-04,298971
2014-04-05,298974
2014-04-06,298976
2014-04-07,298980
2014-04-08,298983
2014-04-09,298986
2014-04-10,298987
2014-04-11,298990
2014-04-12,298992
2014-04-13,298997
2014-04-14,299000
2014-04-15,299004
2014-04-16,299005
2014-04-17,299014
2014-04-18,299020
2014-04-19,299023
2014-04-20,299025
2014-04-21,299030
2014-04-22,299034
2014-04-23,299035
2014-04-25,299036
2014-04-26,299037
2014-04-27,299039
2014-04-28,299042
2014-04-29,299044
2014-04-30,299046
2014-05-01,299056
2014-05-02,299061
2014-05-03,299062
2014-05-04,299063
2014-05-05,299068
2014-05-06,299073
2014-05-07,299078
2014-05-08,299080
2014-05-09,299081
2014-05-11,299083
2014-05-12,299085
2014-05-13,299087
2014-05-14,299096
2014-05-15,299100
2014-05-16,299103
2014-05-17,299105
2014-05-18,299107
2014-05-19,299109
2014-05-21,299114
2014-05-22,299117
2014-05-23,299120
2014-05-24,299124
2014-05-25,299126
2014-05-26,299128
2014-05-27,299134
2014-05-28,299139
2014-05-29,299142
2014-05-30,299147
2014-05-31,299153
2014-06-01,299157
2014-06-02,299159
2014-06-03,299162
2014-06-04,299163
2014-06-05,299166
2014-06-06,299168
2014-06-07,299170
2014-06-08,299171
2014-06-09,299175
2014-06-10,299177
2014-06-12,299179
2014-06-13,299181
2014-06-14,299184
2014-06-16,299187
2014-06-17,299191
2014-06-18,299193
2014-06-20,299196
2014-06-21,299200
2014-06-22,299202
2014-06-23,299207
2014-06-24,299208
2014-06-25,299211
2014-06-26,299213
2014-06-27,299217
2014-06-29,299218
2014-06-30,299223
2014-07-01,299225
2014-07-02,299229
2014-07-03,299235
2014-07-04,299238
2014-07-05,299239
2014-07-06,299242
2014-07-07,299244
2014-07-08,299248
2014-07-09,299250
2014-07-10,299256
2014-07-11,299258
2014-07-12,299261
2014-07-13,299262
2014-07-14,299264
2014-07-15,299265
2014-07-16,299270
2014-07-17,299276
2014-07-18,299278
2014-07-19,299280
2014-07-20,299283
2014-07-21,299285
2014-07-22,299290
2014-07-23,299295
2014-07-24,299297
2014-07-25,299301
2014-07-26,299305
2014-07-27,299308
2014-07-28,299310
2014-07-29,299311
2014-07-30,299314
2014-08-01,299319
2014-08-02,299322
2014-08-03,299324
2014-08-04,299327
2014-08-05,299328
2014-08-06,299331
2014-08-08,299336
2014-08-09,299340
2014-08-10,299341
2014-08-11,299343
2014-08-12,299346
2014-08-13,299351
2014-08-14,299352
2014-08-15,299357
2014-08-16,299362
2014-08-17,299363
2014-08-18,299365
2014-08-19,299368
2014-08-20,299372
2014-08-21,299378
2014-08-22,299381
2014-08-23,299382
2014-08-24,299385
2014-08-25,299387
2014-08-26,299390
2014-08-27,299395
2014-08-28,299396
2014-08-29,299400
2014-08-30,299404
2014-08-31,299405
2014-09-01,299407
2014-09-02,299408
2014-09-03,299410
2014-09-04,299412
2014-09-05,299415
2014-09-06,299417
2014-09-07,299419
2014-09-09,299423
2014-09-10,299424
2014-09-11,299428
2014-09-12,299431
2014-09-14,299434
2014-09-15,299436
2014-09-16,299440
2014-09-17,299447
2014-09-18,299448
2014-09-19,299452
2014-09-20,299458
2014-09-21,299459
2014-09-22,299466
2014-09-23,299471
2014-09-24,299473
2014-09-25,299480
2014-09-26,299484
2014-09-28,299487
2014-09-29,299489
2014-09-30,299492
2014-10-01,299500
2014-10-02,299504
2014-10-03,299505
2014-10-04,299507
2014-10-06,299511
2014-10-07,299519
2014-10-08,299521
2014-10-09,299523
2014-10-10,299524
2014-10-11,299529
2014-10-12,299531
2014-10-13,299532
2014-10-14,299535
2014-10-15,299537
2014-10-16,299541
2014-10-17,299545
2014-10-18,299547
2014-10-19,299554
2014-10-20,299572
2014-10-21,299578
2014-10-22,299585
2014-10-23,299591
2014-10-24,299594
2014-10-25,299598
2014-10-26,299600
2014-10-27,299606
2014-10-28,299612
2014-10-30,299614
2014-10-31,299615
2014-11-01,299617
2014-11-02,299620
2014-11-03,299628
2014-11-04,299630
2014-11-05,299634
2014-11-06,299640
2014-11-07,299641
2014-11-08,299647
2014-11-09,299648
2014-11-10,299654
2014-11-11,299657
2014-11-12,299659
2014-11-13,299668
2014-11-14,299672
2014-11-15,299678
2014-11-16,299680
2014-11-17,299685
2014-11-18,299688
2014-11-19,299690
2014-11-20,299694
2014-11-21,299699
2014-11-22,299704
2014-11-23,299709
2014-11-24,299718
2014-11-25,299720
2014-11-27,299722
2014-11-28,299727
2014-11-29,299732
2014-11-30,299733
2014-12-01,299743
2014-12-02,299752
2014-12-03,299759
2014-12-04,299763
2014-12-06,299770
2014-12-07,299771
2014-12-08,299774
2014-12-09,299779
2014-12-10,299785
2014-12-11,299789
2014-12-12,299793
2014-12-13,299797
2014-12-14,299798
2014-12-15,299801
2014-12-16,299811
2014-12-17,299818
2014-12-18,299828
2014-12-19,299834
2014-12-20,299835
2014-12-21,299839
2014-12-22,299841
2014-12-23,299843
2014-12-24,299847
2014-12-25,299849
2014-12-26,299854
2014-12-27,299855
2014-12-28,299856
2014-12-29,299858
2014-12-30,299865
2014-12-31,299867
2015-01-01,299869
2015-01-02,299870
2015-01-03,299875
2015-01-04,299877
2015-01-05,299881
2015-01-06,299885
2015-01-07,299890
2015-01-08,299897
2015-01-09,299902
2015-01-10,299904
2015-01-11,299905
2015-01-12,299908
2015-01-13,299909
2015-01-14,299916
2015-01-15,299921
2015-01-16,299930
2015-01-17,299938
2015-01-18,299942
2015-01-19,299947
2015-01-20,299951
2015-01-21,299953
2015-01-22,299959
2015-01-23,299962
2015-01-24,299968
2015-01-25,299972
2015-01-26,299976
2015-01-27,299978
2015-01-28,299981
2015-01-29,299982
2015-01-30,299987
2015-01-31,299988
2015-02-01,299993
2015-02-02,299995
2015-02-03,300003
2015-02-04,300009
2015-02-05,300014
2015-02-06,300022
2015-02-07,300028
2015-02-08,300036
2015-02-09,300040
2015-02-10,300043
2015-02-11,300047
2015-02-12,300052
2015-02-13,300054
2015-02-14,300058
2015-02-15,300059
2015-02-16,300060
2015-02-17,300065
2015-02-18,300070
2015-02-19,300073
2015-02-20,300076
2015-02-21,300079
2015-02-22,300085
2015-02-23,300091
2015-02-24,300094
2015-02-25,300098
2015-02-26,300106
2015-02-27,300110
2015-02-28,300114
2015-03-01,300115
2015-03-02,300120
2015-03-03,300123
2015-03-04,300130
2015-03-05,300134
2015-03-06,300139
2015-03-07,300142
2015-03-08,300147
2015-03-09,300149
2015-03-10,300151
2015-03-11,300155
2015-03-12,300158
2015-03-13,300166
2015-03-14,300167
2015-03-15,300171
2015-03-16,300175
2015-03-17,300178
2015-03-18,300181
2015-03-19,300188
2015-03-20,300192
2015-03-21,300195
2015-03-22,300200
2015-03-23,300206
2015-03-24,300212
2015-03-25,300217
2015-03-26,300220
2015-03-27,300222
2015-03-28,300224
2015-03-29,300229
2015-03-30,300233
2015-03-31,300238
2015-04-01,300241
2015-04-02,300247
2015-04-03,300250
2015-04-04,300254
2015-04-05,300258
2015-04-06,300262
2015-04-07,300266
2015-04-08,300270
2015-04-09,300272
2015-04-10,300281
2015-04-11,300285
2015-04-12,300286
2015-04-13,300288
2015-04-14,300293
2015-04-15,300299
2015-04-16,300305
2015-04-17,300310
2015-04-18,300313
2015-04-19,300316
2015-04-20,300320
2015-04-21,300324
2015-04-22,300331
2015-04-24,300334
2015-04-25,300338
2015-04-26,300339
2015-04-27,300343
2015-04-28,300348
2015-04-29,300351
2015-04-30,300357
2015-05-01,300359
2015-05-02,300362
2015-05-03,300367
2015-05-04,300370
2015-05-05,300373
2015-05-06,300374
2015-05-07,300378
2015-05-08,300381
2015-05-09,300382
2015-05-10,300384
2015-05-11,300386
2015-05-12,300390
2015-05-13,300393
2015-05-14,300397
2015-05-15,300403
2015-05-16,300405
2015-05-17,300408
2015-05-18,300414
2015-05-19,300420
2015-05-20,300424
2015-05-21,300429
2015-05-22,300431
2015-05-23,300433
2015-05-24,300435
2015-05-25,300436
2015-05-26,300439
2015-05-27,300447
2015-05-28,300452
2015-05-29,300459
2015-05-30,300462
2015-05-31,300465
2015-06-01,300466
2015-06-02,300471
2015-06-03,300472
2015-06-04,300480
2015-06-05,300487
2015-06-06,300491
2015-06-07,300494
2015-06-08,300499
2015-06-09,300503
2015-06-10,300508
2015-06-12,300513
2015-06-13,300515
2015-06-14,300517
2015-06-15,300525
2015-06-16,300529
2015-06-17,300535
2015-06-18,300539
2015-06-19,300542
2015-06-20,300547
2015-06-21,300551
2015-06-22,300553
2015-06-23,300558
2015-06-24,300565
2015-06-25,300568
2015-06-26,300571
2015-06-27,300576
2015-06-28,300580
2015-06-29,300583
2015-06-30,300587
2015-07-01,300588
2015-07-02,300592
2015-07-03,300594
2015-07-04,300599
2015-07-05,300604
2015-07-06,300605
2015-07-07,300608
2015-07-08,300613
2015-07-09,300620
2015-07-10,300628
2015-07-11,300633
2015-07-12,300636
2015-07-13,300646
2015-07-14,300648
2015-07-15,300651
2015-07-16,300655
2015-07-17,300656
2015-07-18,300660
2015-07-19,300662
2015-07-20,300665
2015-07-21,300670
2015-07-22,300673
2015-07-23,300677
2015-07-24,300682
2015-07-25,300684
2015-07-26,300687
2015-07-27,300692
2015-07-28,300699
2015-07-29,300701
2015-07-30,300707
2015-07-31,300715
2015-08-01,300718
2015-08-02,300721
2015-08-03,300722
2015-08-04,300730
2015-08-05,300733
2015-08-06,300738
2015-08-07,300748
2015-08-08,300753
2015-08-09,300754
2015-08-10,300763
2015-08-11,300765
2015-08-12,300775
2015-08-13,300780
2015-08-14,300781
2015-08-15,300785
2015-08-17,300791
2015-08-18,300796
2015-08-19,300799
2015-08-20,300806
2015-08-21,300811
2015-08-22,300814
2015-08-23,300816
2015-08-24,300820
2015-08-25,300821
2015-08-26,300825
2015-08-27,300832
2015-08-28,300834
2015-08-29,300840
2015-08-30,300842
2015-08-31,300845
2015-09-01,300852
2015-09-02,300859
2015-09-03,300865
2015-09-04,300869
2015-09-05,300872
2015-09-06,300876
2015-09-07,300881
2015-09-08,300889
2015-09-09,300893
2015-09-10,300897
2015-09-11,300899
2015-09-12,300905
2015-09-13,300907
2015-09-14,300911
2015-09-15,300917
